scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
1,DML-Chang,0.1183612301276081,0.11765948315036276,0.0007017469772453392,0.1665889472788058,0.9845,0.20702720720654894,2000.0
1,TWFE,0.11711362247406246,0.11765948315036276,-0.0005458606763003058,0.13618758821679705,0.999,0.2459251464930759,2000.0
2,DML-Chang,0.02563317865525692,0.07865184717614404,-0.053018668520887116,0.30667084154600444,0.974,0.3376809124624438,2000.0
2,TWFE,0.07342154482810738,0.07865184717614404,-0.005230302348036647,0.14752525310201037,0.9995,0.26226506510692793,2000.0
3,DML-Multi,-0.04497108379627028,-0.05038516950542695,0.005414085709156667,0.13254616509909664,1.0,,2000.0
3,TWFE,0.10471876061305736,-0.05038516950542695,0.1551039301184843,0.33004478350407473,0.6257132857732226,0.15148843538640952,2000.0
4,DML-Chang,0.0998517053301675,0.10605554685682969,-0.006203841526662197,0.19090590945405203,0.975,0.21782367093764493,2000.0
4,TWFE,0.27340827467319295,0.10605554685682969,0.1673527278163633,0.21893865816551134,0.9825,0.23116384455117253,2000.0
5,DML-Chang,0.05623036450616898,0.12387463567559331,-0.06764427116942433,0.34403006083279153,0.9725,0.36767555170413113,2000.0
5,TWFE,0.2632830798215799,0.12387463567559331,0.1394084441459866,0.21255304202500133,0.9905,0.26351718436822436,2000.0
6,DML-Multi,-0.112801215873112,-0.12505686292272633,0.012255647049614345,0.14331739818974917,0.9995066140234589,,2000.0
6,TWFE,0.1548012404798875,-0.12505686292272633,0.27985810340261386,0.37302042513137607,0.4324608778350961,0.1288839991994589,2000.0
7,DML-Chang,-0.9573114933042458,-0.9222239431976739,-0.03508755010657196,0.35459417446468877,0.9555,0.33224910439278965,2000.0
7,TWFE,-0.7590082786649032,-0.9222239431976739,0.16321566453277073,0.23998909154659712,0.976,0.26819914055066263,2000.0
8,DML-Chang,-0.3022129394910866,-0.5723211915451745,0.2701082520540879,0.5010878120599592,0.881,0.43379836265738003,2000.0
8,TWFE,-0.4574014447653991,-0.5723211915451745,0.11491974677977536,0.2301947037105442,0.991,0.29690434337491983,2000.0
9,DML-Multi,-1.1743680023020766,-1.1952121301079364,0.020844127805860327,0.1933639272895856,0.9985197059224146,,2000.0
9,TWFE,-0.6434312940354748,-1.1952121301079364,0.5517808360724618,0.5958424891252864,0.10523146058308952,0.13579844279143963,2000.0
10,DML-Chang,0.04405732499966279,0.039908756102449136,0.004148568897213649,0.29645518237963636,0.9785,0.3366323637409671,2000.0
10,TWFE,0.03950802014860722,0.039908756102449136,-0.0004007359538419184,0.14667759152852636,0.9905,0.18849440000209083,2000.0
11,DML-Chang,0.05994896943088589,0.05148196020805997,0.008467009222825915,0.33281722803421954,0.9755,0.36900075539555216,2000.0
11,TWFE,0.19415761727042222,0.05148196020805997,0.14267565706236224,0.21027868458871543,0.9355,0.1953845476492851,2000.0
12,DML-Chang,-0.3026197768764939,-0.6247205015109475,0.32210072463445366,0.5459695901048877,0.8555,0.4429241419705038,2000.0
12,TWFE,-0.5070082993075666,-0.6247205015109475,0.11771220220338093,0.2334674847709252,0.948,0.23638060294359872,2000.0
