scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
1,DML-Chang,0.11797457451899467,0.11740036919052976,0.0005742053284649219,0.031626845218331756,0.986,0.03968872615989209,2000.0
1,TWFE,0.11787982466046557,0.11740036919052976,0.0004794554699357974,0.030473486001059792,1.0,0.05490425227398719,2000.0
2,DML-Chang,0.03883850195973061,0.08003697898832225,-0.04119847702859163,0.06442602190920016,0.8565,0.048634961134585306,2000.0
2,TWFE,0.07956280167566455,0.08003697898832225,-0.00047417731265768305,0.0321332420166127,1.0,0.05867844365037231,2000.0
3,DML-Multi,-0.05139361577584236,-0.05324650044496978,0.0018528846691274218,0.026084762089568874,1.0,,2000.0
3,TWFE,0.10125798373108391,-0.05324650044496978,0.1545044841760537,0.16589886453146827,0.07396664085604364,0.03389401217751385,2000.0
4,DML-Chang,0.1065711642302332,0.10466937643255782,0.0019017877976753915,0.03620043448816382,0.9545,0.03655190154274514,2000.0
4,TWFE,0.2760385488956463,0.10466937643255782,0.17136917246308844,0.17435350715267278,0.014,0.0516571829841291,2000.0
5,DML-Chang,0.06546079945346198,0.12489875661899358,-0.0594379571655316,0.07882092805981064,0.7695,0.050454569152953106,2000.0
5,TWFE,0.2642425111417529,0.12489875661899358,0.13934375452275935,0.1436806309996912,0.2565,0.058967603103327076,2000.0
6,DML-Multi,-0.10690656541022608,-0.11410923285741754,0.007202667447191447,0.02798112143492923,1.0,,2000.0
6,TWFE,0.15476005733466314,-0.11410923285741754,0.2688692901920807,0.2740398900350935,0.0,0.02881487094758799,2000.0
7,DML-Chang,-0.9045455974062018,-0.9245608435592287,0.020015246153027008,0.05879643815528187,0.873,0.04627786932380283,2000.0
7,TWFE,-0.7592338188705747,-0.9245608435592287,0.16532702468865404,0.1695746621884108,0.1055,0.05992924691877875,2000.0
8,DML-Chang,-0.27954829375112716,-0.5701249545347588,0.2905766607836316,0.29930628671225534,0.0085,0.05821347158018203,2000.0
8,TWFE,-0.45653099967604316,-0.5701249545347588,0.11359395485871562,0.1221850804177741,0.646,0.06670054759557269,2000.0
9,DML-Multi,-1.1949953180190318,-1.1891205766230462,-0.005874741395985585,0.036326559081952495,0.9989935026008172,,2000.0
9,TWFE,-0.6413122536410301,-1.1891205766230462,0.5478083229820159,0.5500082107898436,0.0,0.030384722160295526,2000.0
10,DML-Chang,0.03951936349000442,0.0399949733837799,-0.00047560989377547463,0.0433752609799001,0.9735,0.04870252125616846,2000.0
10,TWFE,0.04005081380567008,0.0399949733837799,5.5840421890180005e-05,0.03264432227550031,0.986,0.04225341292489459,2000.0
11,DML-Chang,0.06113790549332215,0.04976060643422722,0.011377299059094934,0.05124797636324626,0.948,0.05047643041687138,2000.0
11,TWFE,0.1875711371898091,0.04976060643422722,0.1378105307555819,0.14230872703506542,0.072,0.04375821454807824,2000.0
12,DML-Chang,-0.2837431336083314,-0.6266994354578824,0.34295630184955095,0.3500043662582255,0.0005,0.05828698079462039,2000.0
12,TWFE,-0.5143887687542722,-0.6266994354578824,0.11231066670361026,0.12130314046039975,0.429,0.0532112993187266,2000.0
