scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
1,DML-Chang,0.11294936068943862,0.11683682969910776,-0.0038874690096691537,0.13815628774405464,0.9775,0.15674719822678457,2000.0
1,TWFE,0.11814340698260563,0.11683682969910776,0.0013065772834978508,0.06138465439318397,0.999,0.10981530825356434,2000.0
2,DML-Chang,0.03440174404825918,0.08111247673429534,-0.046710732686036156,0.3078905550205031,0.979,0.35021668528258054,2000.0
2,TWFE,0.08353440562825808,0.08111247673429534,0.002421928893962731,0.0640285410954263,1.0,0.11743010202834026,2000.0
3,DML-Multi,-0.05047138816774243,-0.052247245417215635,0.0017758572494731934,0.0867916515488901,1.0,,2000.0
3,TWFE,0.10201167432674305,-0.052247245417215635,0.15425891974395867,0.19984727191916957,0.43032860105242987,0.06775655418768566,2000.0
4,DML-Chang,0.09766146508128552,0.10666068473405851,-0.008999219652772996,0.20256874193294486,0.979,0.22754779387847365,2000.0
4,TWFE,0.27890625205700603,0.10666068473405851,0.17224556732294752,0.18394467190636876,0.6835,0.10332014090794002,2000.0
5,DML-Chang,0.060115919755092846,0.12441844603566522,-0.06430252628057237,0.31864990774609775,0.9785,0.3694389158966606,2000.0
5,TWFE,0.2629897302805411,0.12441844603566522,0.13857128424487583,0.15539754869771735,0.9075,0.11792535671232676,2000.0
6,DML-Multi,-0.11181886295881263,-0.12064189355492654,0.00882303059611391,0.09373442924573053,0.9979952010239783,,2000.0
6,TWFE,0.15140807481046809,-0.12064189355492654,0.2720499683653947,0.2925989533446668,0.07245748332254394,0.057668103772652864,2000.0
7,DML-Chang,-0.9503693324896928,-0.9245457847171352,-0.025823547772557593,0.3149615976514091,0.977,0.3581252413865548,2000.0
7,TWFE,-0.7604656759591284,-0.9245457847171352,0.16408010875800688,0.18109148095954597,0.8135,0.11990660606020925,2000.0
8,DML-Chang,-0.29166758637806534,-0.5717970653400581,0.28012947896199286,0.44392849709346116,0.929,0.41317218915665993,2000.0
8,TWFE,-0.4605827917091125,-0.5717970653400581,0.1112142736309457,0.14468509371706703,0.946,0.13343578076634985,2000.0
9,DML-Multi,-1.1914662186668066,-1.1892236223787425,-0.002242596288064292,0.13400339932834043,0.9874962957491864,,2000.0
9,TWFE,-0.6434786247215347,-1.1892236223787425,0.5457449976572076,0.5546813259818271,0.0,0.060810119848103555,2000.0
10,DML-Chang,0.03632170803172466,0.038203212597406666,-0.001881504565682012,0.30010850931246974,0.979,0.3486502532691269,2000.0
10,TWFE,0.04019821062017682,0.038203212597406666,0.001994998022770148,0.06428851177873413,0.9885,0.08437904393754074,2000.0
11,DML-Chang,0.04195382316683058,0.048651068706242785,-0.006697245539412203,0.3011224475735303,0.984,0.36954182583332434,2000.0
11,TWFE,0.1884593356143925,0.048651068706242785,0.1398082669081497,0.15718377835258543,0.674,0.087509352776164,2000.0
12,DML-Chang,-0.3008552621848638,-0.6267301744578754,0.32587491227301163,0.46539738648115997,0.9215,0.41394095720293456,2000.0
12,TWFE,-0.5129330455491995,-0.6267301744578754,0.11379712890867597,0.14529809862013549,0.839,0.10608339291428119,2000.0
