scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
1,DML-Chang,0.12328576794693503,0.11765948315036276,0.0056262847965722835,0.26247732535817214,0.9865,0.3014426249531068,2000.0
1,TWFE,0.11711362247406246,0.11765948315036276,-0.0005458606763003058,0.13618758821679705,0.999,0.2459251464930759,2000.0
2,DML-Chang,0.0017249676633085227,0.07865184717614404,-0.07692687951283551,0.5926023347223104,0.987,0.6727218288535718,2000.0
2,TWFE,0.07342154482810738,0.07865184717614404,-0.005230302348036647,0.14752525310201037,0.9995,0.26226506510692793,2000.0
3,DML-Multi,-0.04574639454777027,-0.05038516950542695,0.004638774957656679,0.15364595704583203,1.0,,2000.0
3,TWFE,0.10471876061305736,0.009968468516427813,0.09475029209662955,0.20560360450639947,0.8578712910298665,0.15148843538640952,2000.0
4,DML-Chang,0.07672266536496027,0.10605554685682969,-0.029332881491869432,0.36528790974139697,0.9825,0.3940528622037645,2000.0
4,TWFE,0.27340827467319295,0.10605554685682969,0.1673527278163633,0.21893865816551134,0.9825,0.23116384455117253,2000.0
5,DML-Chang,0.035561107047801195,0.12387463567559331,-0.08831352862779211,0.6188448592665919,0.988,0.7197908230899748,2000.0
5,TWFE,0.2632830798215799,0.12387463567559331,0.1394084441459866,0.21255304202500133,0.9905,0.26351718436822436,2000.0
6,DML-Multi,-0.11674414516829458,-0.12505686292272633,0.008312717754431745,0.1715631011950592,1.0,,2000.0
6,TWFE,0.1548012404798875,-0.02683667101002182,0.18163791148990935,0.23782563106486776,0.6685495259229373,0.1288839991994589,2000.0
7,DML-Chang,-1.0824271169529311,-0.9222239431976739,-0.16020317375525725,0.6612894871387799,0.981,0.6637187309963622,2000.0
7,TWFE,-0.7590082786649032,-0.9222239431976739,0.16321566453277073,0.23998909154659712,0.976,0.26819914055066263,2000.0
8,DML-Chang,-0.33696323448762866,-0.5723211915451745,0.2353579570575458,0.7411562828965976,0.9665,0.805589902039933,2000.0
8,TWFE,-0.4574014447653991,-0.5723211915451745,0.11491974677977536,0.2301947037105442,0.991,0.29690434337491983,2000.0
9,DML-Multi,-1.1737535718761747,-1.1952121301079364,0.02145855823176211,0.24155700881211165,0.9965069562564657,,2000.0
9,TWFE,-0.6434312940354748,-0.9787019298696241,0.33527063583414934,0.3609683172441918,0.3096516299557488,0.13579844279143963,2000.0
10,DML-Chang,0.050005301214771335,0.039908756102449136,0.010096545112322197,0.5683320595064398,0.99,0.6706066577052704,2000.0
10,TWFE,0.03950802014860722,0.039908756102449136,-0.0004007359538419184,0.14667759152852636,0.9905,0.18849440000209083,2000.0
11,DML-Chang,0.049580559191111234,0.05148196020805997,-0.001901401016948742,0.6355606544126505,0.9885,0.7226157046905292,2000.0
11,TWFE,0.19415761727042222,0.05148196020805997,0.14267565706236224,0.21027868458871543,0.9355,0.1953845476492851,2000.0
12,DML-Chang,-0.31550567173769006,-0.6247205015109475,0.3092148297732575,0.7893753498485875,0.956,0.8082545688452047,2000.0
12,TWFE,-0.5070082993075666,-0.6247205015109475,0.11771220220338093,0.2334674847709252,0.948,0.23638060294359872,2000.0
