scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters,n_units,preset
1,DML-Chang,0.1183612301276081,0.1176594831503627,0.0007017469772453,0.1665889472788058,0.9845,0.2070272072065489,2000.0,500,light
1,TWFE,0.1171136224740624,0.1176594831503627,-0.0005458606763003,0.136187588216797,0.999,0.2459251464930759,2000.0,500,light
2,DML-Chang,0.0256331786552569,0.078651847176144,-0.0530186685208871,0.3066708415460044,0.974,0.3376809124624438,2000.0,500,light
2,TWFE,0.0734215448281073,0.078651847176144,-0.0052303023480366,0.1475252531020103,0.9995,0.2622650651069279,2000.0,500,light
3,DML-Multi,-0.0449710837962702,-0.0503851695054269,0.0054140857091566,0.1325461650990966,1.0,,2000.0,500,light
3,TWFE,0.1047187606130573,-0.0503851695054269,0.1551039301184843,0.3300447835040747,0.6257132857732226,0.1514884353864095,2000.0,500,light
4,DML-Chang,0.0998517053301675,0.1060555468568296,-0.0062038415266621,0.190905909454052,0.975,0.2178236709376449,2000.0,500,light
4,TWFE,0.2734082746731929,0.1060555468568296,0.1673527278163633,0.2189386581655113,0.9825,0.2311638445511725,2000.0,500,light
5,DML-Chang,0.0562303645061689,0.1238746356755933,-0.0676442711694243,0.3440300608327915,0.9725,0.3676755517041311,2000.0,500,light
5,TWFE,0.2632830798215799,0.1238746356755933,0.1394084441459866,0.2125530420250013,0.9905,0.2635171843682243,2000.0,500,light
6,DML-Multi,-0.112801215873112,-0.1250568629227263,0.0122556470496143,0.1433173981897491,0.9995066140234588,,2000.0,500,light
6,TWFE,0.1548012404798875,-0.1250568629227263,0.2798581034026138,0.373020425131376,0.4324608778350961,0.1288839991994589,2000.0,500,light
7,DML-Chang,-0.9573114933042458,-0.922223943197674,-0.0350875501065719,0.3545941744646887,0.9555,0.3322491043927896,2000.0,500,light
7,TWFE,-0.7590082786649032,-0.922223943197674,0.1632156645327707,0.2399890915465971,0.976,0.2681991405506626,2000.0,500,light
8,DML-Chang,-0.3022129394910866,-0.5723211915451745,0.2701082520540879,0.5010878120599592,0.881,0.43379836265738,2000.0,500,light
8,TWFE,-0.4574014447653991,-0.5723211915451745,0.1149197467797753,0.2301947037105442,0.991,0.2969043433749198,2000.0,500,light
9,DML-Multi,-1.1743680023020766,-1.1952121301079364,0.0208441278058603,0.1933639272895856,0.9985197059224146,,2000.0,500,light
9,TWFE,-0.6434312940354748,-1.1952121301079364,0.5517808360724618,0.5958424891252864,0.1052314605830895,0.1357984427914396,2000.0,500,light
10,DML-Chang,0.0440573249996627,0.0399087561024491,0.0041485688972136,0.2964551823796363,0.9785,0.3366323637409671,2000.0,500,light
